activity_id,station_id,lon,lat,station_name
887,2560,137.814147949219,35.3753051757813,門島
1473,2561,137.810256958008,35.4023361206055,唐笠
1484,2563,137.816757202148,35.4289474487305,千代
2099,2566,137.815567016602,35.4529457092285,川路
2531,2573,137.809097290039,35.5123405456543,切石
2621,2572,137.828384399414,35.5067253112793,鼎
2696,2570,137.841537475586,35.4968299865723,伊那八幡
2723,2571,137.839584350586,35.5042610168457,下山村
2843,2576,137.838989257813,35.5201644897461,伊那上郷
2945,2577,137.861373901367,35.5338439941406,元善光寺
3040,2578,137.876403808594,35.5441665649414,下市田
3105,2579,137.886581420898,35.5493240356445,市田
3256,2580,137.895919799805,35.5725975036621,下平
3301,2581,137.903274536133,35.5777587890625,山吹
3503,2582,137.913223266602,35.5956993103027,伊那大島
3704,2583,137.904067993164,35.6175842285156,上片桐
3768,2584,137.910339355469,35.6272201538086,伊那田島
3861,2586,137.911346435547,35.6546440124512,七久保
4243,2587,137.932479858398,35.6654281616211,伊那本郷
4369,2588,137.929000854492,35.6775703430176,飯島
4562,2589,137.933090209961,35.695613861084,田切
4744,2590,137.933975219727,35.7122344970703,伊那福岡
4804,2591,137.935211181641,35.7267799377441,小町屋
4918,2592,137.936859130859,35.7362174987793,駒ケ根
5052,2593,137.940155029297,35.748161315918,大田切
5220,2594,137.938903808594,35.767261505127,宮田
5277,2595,137.943939208984,35.7778854370117,赤木
5481,2596,137.944030761719,35.8036804199219,沢渡
5550,2597,137.940048217773,35.8127059936523,下島
5746,2598,137.959197998047,35.838436126709,伊那市
5791,2599,137.964370727539,35.8452415466309,伊那北
5933,2600,137.977813720703,35.8607902526855,田畑
6028,2601,137.98405456543,35.8793754577637,北殿
6146,2602,137.988021850586,35.9008903503418,木ノ下
6251,2603,137.988647460938,35.9138641357422,伊那松島
6452,2604,137.985473632813,35.9363861083984,沢
6533,2605,137.985122680664,35.9530944824219,羽場
6626,2606,137.98405456543,35.9687995910645,伊那新町
6693,2607,137.990509033203,35.976245880127,宮木
6770,2608,137.99723815918,35.9845657348633,辰野
6949,1498,137.97184753418,36.0136413574219,信濃川島
7123,1499,137.970596313477,36.0469284057617,小野
7567,1495,137.98193359375,36.0941772460938,みどり湖
7763,2499,137.947967529297,36.1143646240234,塩尻
7961,2500,137.949584960938,36.1480331420898,広丘
8092,2501,137.956008911133,36.1742248535156,村井
8202,2502,137.962020874023,36.191162109375,平田
8296,2503,137.969497680664,36.2104454040527,南松本
8378,8352,137.963302612305,36.2271118164063,西松本
8390,8353,137.956008911133,36.2271690368652,渚
8409,2410,137.960983276367,36.2369728088379,北松本
8470,2411,137.94482421875,36.2469902038574,島内
8611,2412,137.931579589844,36.2463226318359,島高松
8619,2413,137.918029785156,36.2501602172852,梓橋
8690,2415,137.903350830078,36.2734336853027,中萱
8750,2416,137.903457641602,36.2911224365234,南豊科
8800,2417,137.900894165039,36.2999572753906,豊科
8898,2418,137.88835144043,36.3225288391113,柏矢町
8944,2419,137.881866455078,36.3390617370605,穂高
9044,2420,137.878234863281,36.3599472045898,有明
9098,2421,137.872741699219,36.3717956542969,安曇追分
9229,2422,137.86572265625,36.3971061706543,細野
9283,2423,137.862731933594,36.4064407348633,北細野
9411,2424,137.858627319336,36.4244575500488,信濃松川
9560,2425,137.854782104492,36.4477958679199,安曇沓掛
9703,2426,137.847152709961,36.4674034118652,信濃常盤
9888,2427,137.856262207031,36.4915351867676,南大町
9968,2428,137.861679077148,36.5003089904785,信濃大町
10115,2429,137.85791015625,36.5175590515137,北大町
10283,2430,137.84619140625,36.53564453125,信濃木崎
10433,2431,137.842575073242,36.5540580749512,稲尾
