activity_id,station_id,lon,lat,alt,distance
887,2560,137.679840087891,35.3745956420898,867.2,12204.7804224648
1473,2561,137.705062866211,35.433277130127,593.6,10151.92703262
1484,2563,137.705780029297,35.4347267150879,583.6,10097.7684086777
2099,2566,137.761627197266,35.4705619812012,237.6,5271.93783315546
2531,2573,137.809814453125,35.5011100769043,133.6,1247.71669693591
2621,2572,137.828598022461,35.4982986450195,106.8,935.137850549597
2696,2570,137.838485717773,35.4993515014648,80.6,393.617682351578
2723,2571,137.841461181641,35.5021591186523,64.8,288.754083212484
2843,2576,137.849182128906,35.5169715881348,28.2,990.122929035215
2945,2577,137.86311340332,35.531436920166,32.2,310.181149131303
3040,2578,137.876174926758,35.5443267822266,27.2,27.3269060870705
3105,2579,137.884719848633,35.5509452819824,44,246.673372037708
3256,2580,137.897857666016,35.5711669921875,22.6,236.746888596443
3301,2581,137.905166625977,35.5755920410156,31.2,295.309390433343
3503,2582,137.916076660156,35.5929374694824,83,400.955226696859
3704,2583,137.919876098633,35.6160736083984,56.6,1441.95405529463
3768,2584,137.921630859375,35.626033782959,65.6,1031.29582816404
3861,2586,137.932113647461,35.640552520752,71.2,2445.74821094229
4243,2587,137.94157409668,35.6644973754883,137.2,829.875266378372
4369,2588,137.940124511719,35.6781768798828,166.6,1009.25902378452
4562,2589,137.933654785156,35.6960067749023,178.8,67.1687184567812
4744,2590,137.937240600586,35.7120742797852,204.2,296.019222791225
4804,2591,137.939102172852,35.7260627746582,206.4,360.914843380772
4918,2592,137.936386108398,35.7360572814941,208.4,46.3366938526164
5052,2593,137.940811157227,35.7482795715332,187.2,60.7795502886957
5220,2594,137.943572998047,35.7673988342285,171.2,422.499341989111
5277,2595,137.945816040039,35.7770767211914,161.2,191.959421562797
5481,2596,137.943695068359,35.8036613464355,143.2,30.4159089673351
5550,2597,137.942276000977,35.8124198913574,149.6,203.826574229401
5746,2598,137.958618164063,35.8392143249512,168.6,100.99455947149
5791,2599,137.963760375977,35.8454627990723,172.8,60.356898219453
5933,2600,137.972961425781,35.8627128601074,198.6,487.424263277748
6028,2601,137.981201171875,35.8792343139648,209,258.139430894692
6146,2602,137.985794067383,35.900936126709,203,201.180249718869
6251,2603,137.985946655273,35.9143333435059,211.8,249.27570094284
6452,2604,137.978286743164,35.9384346008301,246.6,687.187307258321
6533,2605,137.980575561523,35.9541015625,253.2,425.172050319426
6626,2606,137.982620239258,35.9691314697266,248.2,134.51355632009
6693,2607,137.98420715332,35.9762382507324,267.8,568.37173879244
6770,2608,137.981033325195,35.987361907959,258.2,1493.91922926813
6949,1498,137.97151184082,36.0134201049805,290.2,38.9679650527407
7123,1499,137.970291137695,36.0470733642578,330.8,31.8580075064563
7567,1495,137.985809326172,36.0968933105469,292.2,461.138437906976
7763,2499,137.960433959961,36.1147041320801,231,1123.02384379436
7961,2500,137.950378417969,36.1478958129883,193.4,73.0149546364913
8092,2501,137.958724975586,36.1718482971191,162.6,359.514817239979
8202,2502,137.964599609375,36.1908874511719,140.4,233.939955274275
8296,2503,137.962005615234,36.2080192565918,127,725.519418261433
8378,8352,137.959671020508,36.2251243591309,113.8,394.002585387614
8390,8353,137.957901000977,36.2287406921387,111.6,243.618188925728
8409,2410,137.956298828125,36.2333030700684,111.6,585.790571642465
8470,2411,137.95198059082,36.2479019165039,608.6,651.13036732986
8611,2412,137.936050415039,36.270133972168,595,2672.57122577198
8619,2413,137.934326171875,36.2714080810547,593,2775.5520525126
8690,2415,137.913589477539,36.282169342041,585,1336.35914380433
8750,2416,137.90673828125,36.2915344238281,576.6,298.227587509729
8800,2417,137.903778076172,36.3009185791016,566,280.138099421508
8898,2418,137.893432617188,36.3227424621582,553.2,456.879620935593
8944,2419,137.885925292969,36.3452644348145,523.6,778.782953226976
9044,2420,137.878799438477,36.3600730895996,530,52.56199363017
9098,2421,137.874038696289,36.3722610473633,540.2,127.332953793693
9229,2422,137.862747192383,36.3964157104492,563.8,277.706930476967
9283,2423,137.86083984375,36.4059829711914,574.6,177.15724381495
9411,2424,137.85758972168,36.4241256713867,600.2,100.072761856085
9560,2425,137.854309082031,36.4476547241211,631.8,45.2069563549755
9703,2426,137.849212646484,36.4677124023438,665,187.785807143041
9888,2427,137.856658935547,36.4910125732422,696.2,68.0209729007842
9968,2428,137.859619140625,36.4983787536621,706.8,282.735803688721
10115,2429,137.851364135742,36.5159606933594,726.2,612.57849122089
10283,2430,137.84733581543,36.5360794067383,748.8,113.275229723892
10433,2431,137.837432861328,36.547290802002,752.6,880.854220105557
